15:45:23 | INFO | Tesseract: C:\Program Files\Tesseract-OCR\tesseract.EXE
15:45:23 | INFO | CAP_WIN=(3948, 684, 348, 265) NAME_ROI=(3394, 136, 532, 50) UNION=(3394, 136, 902, 813)
15:45:23 | INFO | [Setup] Ativar mount com tecla '1'
15:45:23 | INFO | PAUSADO
15:45:26 | INFO | Template guardado: templates\battle\default.png
15:45:27 | INFO | [BATTLE TEST] score=1.000 thr=0.9
15:45:29 | INFO | RETOMADO
15:45:30 | INFO | [ENCOUNTER] Não-alvo: 'zubat'.
15:45:32 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
15:45:32 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:45:34 | INFO | PAUSADO
15:45:56 | INFO | RETOMADO
15:45:56 | INFO | [ENCOUNTER] Não-alvo: 'zubat'.
15:45:56 | INFO | [NON-TARGET] Fuga OK (0x).
15:46:08 | INFO | [ENCOUNTER] Não-alvo: 'fearow'.
15:46:09 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
15:46:09 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:46:25 | INFO | [ENCOUNTER] Não-alvo: 'zubat'.
15:46:26 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
15:46:27 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:46:40 | INFO | [ENCOUNTER] Não-alvo: 'zubat'.
15:46:41 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
15:46:41 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:46:56 | INFO | [ENCOUNTER] Alvo: 'mankey'
15:47:05 | INFO | [CATCH] Batalha continua. Repetir combo de captura (1/5).
15:47:11 | INFO | [CATCH] Batalha continua. Repetir combo de captura (2/5).
15:47:18 | INFO | [CATCH] Batalha continua. Repetir combo de captura (3/5).
15:47:20 | INFO | [RESOLVE] Batalha terminou — regressar a PATROL.
15:47:31 | INFO | [ENCOUNTER] Não-alvo: 'venonat'.
15:47:33 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
15:47:33 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:47:35 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:47:50 | INFO | [ENCOUNTER] Não-alvo: 'zubat'.
15:47:52 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
15:47:52 | INFO | [NON-TARGET] Repetir fuga (fallback).
15:48:10 | INFO | [ENCOUNTER] Alvo: 'mankey'
15:48:19 | INFO | [CATCH] Batalha continua. Repetir combo de captura (1/5).
15:48:25 | INFO | [CATCH] Batalha continua. Repetir combo de captura (2/5).
15:48:31 | INFO | [CATCH] Batalha continua. Repetir combo de captura (3/5).
15:48:34 | INFO | [RESOLVE] Batalha terminou — regressar a PATROL.
