23:23:41 | INFO | Tesseract: C:\Program Files\Tesseract-OCR\tesseract.EXE
23:23:41 | INFO | CAP_WIN=(3948, 684, 348, 265) NAME_ROI=(3394, 136, 532, 50) UNION=(3394, 136, 902, 813)
23:23:42 | INFO | [Setup] Ativar mount com tecla '1'
23:23:52 | INFO | [ENCOUNTER] Não-alvo: 'starly'.
23:23:53 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:23:53 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:24:07 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:24:08 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:24:08 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:24:21 | INFO | [ENCOUNTER] Não-alvo: 'bidoof'.
23:24:22 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:24:22 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:24:35 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:24:37 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:24:37 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:24:48 | INFO | [ENCOUNTER] Não-alvo: 'slurpuff'.
23:24:49 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:24:50 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:25:02 | INFO | [ENCOUNTER] Não-alvo: 'starly'.
23:25:03 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:25:03 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:25:05 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:25:18 | INFO | [ENCOUNTER] Não-alvo: 'starly'.
23:25:19 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:25:19 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:25:33 | INFO | [ENCOUNTER] Não-alvo: 'geodude'.
23:25:34 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:25:34 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:25:48 | INFO | [ENCOUNTER] Não-alvo: 'noctowl'.
23:25:49 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:25:49 | INFO | [NON-TARGET] Repetir fuga (fallback).
23:26:02 | INFO | [ENCOUNTER] Não-alvo: 'kricketune'.
23:26:03 | INFO | [NON-TARGET] Fuga ainda em batalha (2x).
23:26:03 | INFO | [NON-TARGET] Repetir fuga (fallback).
